Execute,TestScenario,TestCase,Iteration,Status,Browser,BrowserVersion,Platform
false,03-CodingRequest,TC001_LEM_Verify_CodingRequest_created_from_ContactLite_page,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC002_LEM_Verify_Contact_after_canceling_ContactLite_CodingRequest,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC003_LEM_Verify_CodingConflict_with_HardCode_request_ReqHardCode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC004_LEM_Verify_CodingConflict_with_HardCode_request_Req.SoftCode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC005_LEM_Verify_CodingConflict_with_SoftCode_request_ReqHardCode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC006_LEM_Verify_CodingConflict_with_SoftCode_request_ReqSoftCode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC007_LEM_Verify_CodingConflict_with_Hardcode_request_Uncode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC008_LEM_Verify_CodingConflict_with_Softcode_request_Uncode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC009_LEM_Verify_CodingConflict_with_HardCode_Reassign_request,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC010_LEM_Verify_CodingConflict_with_SoftCode_Reassign_request,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC011_VIPHost_Verify_Coding_Request_popup_for_TaskOutcome_LowWorth,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC012_VIPHost_Verify_Coding_Request_popup_not_populated_for_other_TaskOutcome,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC013_VIPHOST_Verify_Coding_Request_popup_for_TaskOutcome_ReportedDeceased,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC014_VIPHost_Verify_Coding_Request_popup_for_TaskOutcome_RequestUncode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC015_VIPHost_Verify_CodingConflict_with_SoftCode_request_Req. SoftCode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC016_VIPHost_Verify_CodingConflict_with_SoftCode_request_Req. HardCode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC017_VIPHost_Verify_CodingConflict_with_HardCode_request_Req.SoftCode,Single,Passed,Chrome Headless,Default,Any
false,03-CodingRequest,TC018_VIPHost_Verify_CodingConflict_with_HardCode_request_Req.HardCode,Single,Passed,Chrome Headless,Default,Any
false,03-CodingRequest,TC019_VIPHost_Verify_CodingConflict_with_RelationShip_HardCode_Uncode_request,Single,Passed,Chrome Headless,Default,Any
false,03-CodingRequest,TC020_VIPHost_Verify_CodingConflict_with_RelationShip_SoftCode_Uncode_request,Single,Passed,Chrome Headless,Default,Any
false,03-CodingRequest,TC021_VIPHost_Verify_CodingConflict_with_Reassign_request_HardCode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC022_VIPHost_Verify_CodingConflict_with_Reassign_request_SoftCode,Single,Passed,Chrome Headless,Default,Any
false,03-CodingRequest,TC023_VIPHost_Verify_SameProperty_Hardcode_Coding_Request_recod_not_populated,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC024_VIPHost_Verify_SameProperty_softcode_Coding_Request_recod_not_populated,Single,Passed,Chrome Headless,Default,Any
false,03-CodingRequest,TC025_LEMAdmin_Verify_CodingReq_created_from_CIDL_Contact,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC026_LEMAdmin_Verify_Contact_after_canceling_CIDL_Contact_CodingReq,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC027_LEM_Verify_SameProperty_softcode_Coding_Request_recod_not_populated,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC028_LEM_Verify_SameProperty_Hardcode_Coding_Request_recod_not_populated,Single,Passed,Chrome,Default,Any
